record_id,redcap_repeat_instrument,redcap_repeat_instance,mhla_confirm,mhlea_confidence,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,light_exposure_diary_complete,form_1_complete
THUAS_S001,,,,,,,,,,,,,0.0
THUAS_S001,light_exposure_diary,1.0,1.0,4.0,C3B89F50-F304-11EF-A98A-FD998181F5DB,2025-02-25 00:12:06,2025-02-25 00:12:20,,1.0,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-02-25 00:12:20"",    ""utcTime"": ""2025-02-24 23:12:06.085382Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.1.9"",    ""buildnumber"": ""154"",    ""configversion"": ""2"",    ""devicemodel"": ""motorola edge 40 neo"",    ""percentComplete"": ""100""  }",result.zip,0.0,
THUAS_S001,light_exposure_diary,2.0,1.0,4.0,377272A0-F3CC-11EF-8966-390C09834AA8,2025-02-25 23:59:50,2025-02-25 23:59:59,,1.0,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-02-26 00:00:00"",    ""utcTime"": ""2025-02-25 22:59:50.090291Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.1.9"",    ""buildnumber"": ""154"",    ""configversion"": ""2"",    ""devicemodel"": ""motorola edge 40 neo"",    ""percentComplete"": ""100""  }",result.zip,0.0,
THUAS_S001,light_exposure_diary,3.0,1.0,5.0,F8230C60-F48C-11EF-B78D-5533353A5671,2025-02-26 22:59:36,2025-02-26 22:59:44,,1.0,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-02-26 22:59:44"",    ""utcTime"": ""2025-02-26 21:59:36.742600Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.1.9"",    ""buildnumber"": ""154"",    ""configversion"": ""2"",    ""devicemodel"": ""motorola edge 40 neo"",    ""percentComplete"": ""100""  }",result.zip,0.0,
THUAS_S001,light_exposure_diary,4.0,1.0,4.0,BDB64060-F563-11EF-BAA3-4D6DA031EBC3,2025-02-28 00:37:00,2025-02-28 00:37:08,,1.0,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-02-28 00:37:09"",    ""utcTime"": ""2025-02-27 23:37:00.518071Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.1.9"",    ""buildnumber"": ""154"",    ""configversion"": ""2"",    ""devicemodel"": ""motorola edge 40 neo"",    ""percentComplete"": ""100""  }",result.zip,0.0,
THUAS_S001,light_exposure_diary,5.0,1.0,3.0,46EA0B90-F61E-11EF-A1E1-33A5A843110D,2025-02-28 22:52:17,2025-02-28 22:52:24,,1.0,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-02-28 22:52:25"",    ""utcTime"": ""2025-02-28 21:52:17.097598Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.1.9"",    ""buildnumber"": ""154"",    ""configversion"": ""2"",    ""devicemodel"": ""motorola edge 40 neo"",    ""percentComplete"": ""100""  }",result.zip,0.0,
THUAS_S001,light_exposure_diary,6.0,1.0,4.0,18358BF0-F6E9-11EF-81C6-99212B6159D1,2025-03-01 23:04:06,2025-03-01 23:04:12,,1.0,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-01 23:04:13"",    ""utcTime"": ""2025-03-01 22:04:06.575260Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.1.9"",    ""buildnumber"": ""154"",    ""configversion"": ""2"",    ""devicemodel"": ""motorola edge 40 neo"",    ""percentComplete"": ""100""  }",result.zip,0.0,
THUAS_S001,light_exposure_diary,7.0,1.0,4.0,9611FE30-F7A9-11EF-9DBF-05172E3CC729,2025-03-02 22:02:01,2025-03-02 22:02:06,,1.0,"{    ""devicemanufacturer"": ""motorola"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-03-02 22:02:07"",    ""utcTime"": ""2025-03-02 21:02:01.107590Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CET"",    ""appversion"": ""2.1.9"",    ""buildnumber"": ""154"",    ""configversion"": ""2"",    ""devicemodel"": ""motorola edge 40 neo"",    ""percentComplete"": ""100""  }",result.zip,0.0,
