record_id,redcap_repeat_instrument,redcap_repeat_instance,mhla_confirm,mhlea_confidence,uuid,startdate,enddate,scheduledate,status,supplementaldata,serializedresult,light_exposure_diary_complete,form_1_complete
THUAS_S018,,,,,,,,,,,,,0.0
THUAS_S018,light_exposure_diary,1.0,1.0,2.0,2689E0F0-97F4-11F0-B513-57AEC50DAA10,2025-09-22 22:38:52,2025-09-22 22:39:17,,1.0,"{    ""devicemanufacturer"": ""OPPO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-09-22 22:39:17"",    ""utcTime"": ""2025-09-22 20:38:52.286994Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""CPH2481"",    ""percentComplete"": ""100""  }",result_light_exposure_diary_THUAS_S018_1.zip,0.0,
THUAS_S018,light_exposure_diary,2.0,1.0,4.0,6615F330-98C1-11F0-9F42-81BD80DD7D9D,2025-09-23 23:08:05,2025-09-23 23:08:25,,1.0,"{    ""devicemanufacturer"": ""OPPO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-09-23 23:08:25"",    ""utcTime"": ""2025-09-23 21:08:05.731699Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""CPH2481"",    ""percentComplete"": ""100""  }",result_light_exposure_diary_THUAS_S018_2.zip,0.0,
THUAS_S018,light_exposure_diary,3.0,1.0,4.0,727B7C30-9989-11F0-A5E3-A1E05B99C842,2025-09-24 23:00:05,2025-09-24 23:00:17,,1.0,"{    ""devicemanufacturer"": ""OPPO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-09-24 23:00:18"",    ""utcTime"": ""2025-09-24 21:00:05.875565Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""CPH2481"",    ""percentComplete"": ""100""  }",result_light_exposure_diary_THUAS_S018_3.zip,0.0,
THUAS_S018,light_exposure_diary,4.0,1.0,4.0,B0331960-9A52-11F0-BA4F-0F5FEDE576BF,2025-09-25 23:00:38,2025-09-25 23:00:45,,1.0,"{    ""devicemanufacturer"": ""OPPO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-09-25 23:00:46"",    ""utcTime"": ""2025-09-25 21:00:38.262886Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""CPH2481"",    ""percentComplete"": ""100""  }",result_light_exposure_diary_THUAS_S018_4.zip,0.0,
THUAS_S018,light_exposure_diary,5.0,1.0,4.0,BBC8E790-9B20-11F0-95BE-03596740AA86,2025-09-26 23:35:34,2025-09-26 23:35:40,,1.0,"{    ""devicemanufacturer"": ""OPPO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-09-26 23:35:41"",    ""utcTime"": ""2025-09-26 21:35:34.025065Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""CPH2481"",    ""percentComplete"": ""100""  }",result_light_exposure_diary_THUAS_S018_5.zip,0.0,
THUAS_S018,light_exposure_diary,6.0,1.0,4.0,172A77B0-9BF4-11F0-BCE5-5344C55A0B07,2025-09-28 00:48:31,2025-09-28 00:48:40,,1.0,"{    ""devicemanufacturer"": ""OPPO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-09-28 00:48:40"",    ""utcTime"": ""2025-09-27 22:48:31.147814Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""CPH2481"",    ""percentComplete"": ""100""  }",result_light_exposure_diary_THUAS_S018_6.zip,0.0,
THUAS_S018,light_exposure_diary,7.0,1.0,4.0,F0D9FB40-9CB0-11F0-AC96-4FE7EC29F4E9,2025-09-28 23:20:21,2025-09-28 23:20:30,,1.0,"{    ""devicemanufacturer"": ""OPPO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-09-28 23:20:31"",    ""utcTime"": ""2025-09-28 21:20:21.748029Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""CPH2481"",    ""percentComplete"": ""100""  }",result_light_exposure_diary_THUAS_S018_7.zip,0.0,
THUAS_S018,light_exposure_diary,8.0,1.0,4.0,B102DEB0-9D82-11F0-818D-F99B2CBCE531,2025-09-30 00:21:48,2025-09-30 00:21:55,,1.0,"{    ""devicemanufacturer"": ""OPPO"",    ""deviceplatform"": ""Android"",    ""deviceversion"": ""14"",    ""syncdate"": ""2025-09-30 00:21:56"",    ""utcTime"": ""2025-09-29 22:21:48.955964Z"",    ""projectLanguageSelected"": ""en-US"",    ""timezone"": ""CEST"",    ""appversion"": ""2.5.0"",    ""buildnumber"": ""186"",    ""configversion"": ""2"",    ""devicemodel"": ""CPH2481"",    ""percentComplete"": ""100""  }",result_light_exposure_diary_THUAS_S018_8.zip,0.0,
